id,horas_estudo,aulas_participadas,nota_exame
0,5.993428306022466,8,76.1197536859043
1,4.72347139765763,11,60.92996070690058
2,6.295377076201385,12,81.73131680440756
3,8.046059712816051,7,82.69963714799032
4,4.531693250553328,5,70.66239922530897
5,4.531726086101639,8,67.75890583072005
6,8.158425631014783,6,78.6532335545851
7,6.534869458305818,12,82.493252853533
8,4.061051228130096,8,70.14278045458549
9,6.085120087171929,6,73.36581114528371
10,4.0731646143750755,10,68.30638430147224
11,4.068540492859486,10,74.79158939124945
12,5.483924543132068,14,81.4627374435779
13,1.1734395106844042,8,60.16566504207442
14,1.5501643349739345,10,54.477721922496926
15,3.8754249415180544,6,59.47097578492204
16,2.9743377593311524,14,71.56186191645222
17,5.628494665190548,6,65.90888397724325
18,3.1839518489575784,14,74.07238853799252
19,2.175392597329417,8,63.01391254600116
20,7.931297537843108,12,89.47402948468
21,4.548447399026928,11,71.23061442002174
22,5.1350564093758475,13,72.68616313826816
23,2.1505036275730864,12,66.5748610293975
24,3.9112345509496347,9,66.35971354294479
25,5.2218451794197325,6,68.00528168319885
26,2.6980128451553944,9,57.24613261411204
27,5.751396036691344,12,83.66964343958851
28,3.79872262016239,14,84.79991412317855
29,4.416612500413446,13,76.44132436488125
